episode,reward,episode_length
665,41.0,41
666,36.0,36
667,69.0,69
668,59.0,59
669,40.0,40
670,44.0,44
671,59.0,59
672,46.0,46
673,143.0,143
674,92.0,92
675,336.0,336
676,100.0,100
677,164.0,164
678,411.0,411
679,74.0,74
680,66.0,66
681,97.0,97
682,133.0,133
683,111.0,111
684,67.0,67
685,50.0,50
686,67.0,67
687,40.0,40
688,45.0,45
689,41.0,41
690,84.0,84
691,57.0,57
692,187.0,187
693,61.0,61
694,76.0,76
695,91.0,91
696,327.0,327
697,84.0,84
698,500.0,500
699,392.0,392
700,273.0,273
701,270.0,270
702,390.0,390
703,63.0,63
704,69.0,69
705,78.0,78
706,37.0,37
707,41.0,41
708,26.0,26
709,32.0,32
710,34.0,34
711,39.0,39
712,46.0,46
713,48.0,48
714,111.0,111
715,77.0,77
716,197.0,197
717,307.0,307
718,233.0,233
719,96.0,96
720,206.0,206
721,188.0,188
722,311.0,311
723,177.0,177
724,58.0,58
725,53.0,53
726,35.0,35
727,34.0,34
728,37.0,37
729,29.0,29
730,26.0,26
731,30.0,30
732,32.0,32
733,90.0,90
734,192.0,192
735,292.0,292
736,190.0,190
737,204.0,204
738,173.0,173
739,205.0,205
740,189.0,189
741,116.0,116
742,214.0,214
743,79.0,79
744,55.0,55
745,74.0,74
746,70.0,70
747,40.0,40
748,38.0,38
749,102.0,102
750,57.0,57
751,59.0,59
752,49.0,49
753,65.0,65
754,123.0,123
755,223.0,223
756,86.0,86
757,215.0,215
758,207.0,207
759,200.0,200
760,196.0,196
761,225.0,225
762,208.0,208
763,178.0,178
764,47.0,47
765,77.0,77
766,49.0,49
767,147.0,147
768,132.0,132
769,93.0,93
770,107.0,107
771,97.0,97
772,80.0,80
773,500.0,500
774,199.0,199
775,400.0,400
776,353.0,353
777,261.0,261
778,500.0,500
779,114.0,114
780,226.0,226
781,222.0,222
782,500.0,500
783,243.0,243
784,273.0,273
785,101.0,101
786,384.0,384
787,184.0,184
788,500.0,500
789,98.0,98
790,94.0,94
791,500.0,500
792,500.0,500
793,500.0,500
794,500.0,500
795,327.0,327
796,500.0,500
797,500.0,500
798,500.0,500
799,500.0,500
800,500.0,500
801,500.0,500
802,500.0,500
803,500.0,500
804,500.0,500
805,500.0,500
806,500.0,500
807,186.0,186
808,500.0,500
809,500.0,500
810,500.0,500
811,500.0,500
812,500.0,500
813,500.0,500
814,500.0,500
815,114.0,114
816,500.0,500
817,500.0,500
818,500.0,500
819,500.0,500
820,500.0,500
821,500.0,500
822,500.0,500
823,500.0,500
824,344.0,344
825,500.0,500
826,500.0,500
827,500.0,500
828,500.0,500
829,500.0,500
830,500.0,500
831,500.0,500
832,500.0,500
833,500.0,500
834,500.0,500
835,500.0,500
836,111.0,111
837,500.0,500
838,191.0,191
839,500.0,500
840,500.0,500
841,500.0,500
842,500.0,500
843,500.0,500
844,500.0,500
845,500.0,500
846,180.0,180
847,500.0,500
848,500.0,500
849,131.0,131
850,500.0,500
851,500.0,500
852,500.0,500
853,500.0,500
854,500.0,500
855,500.0,500
856,500.0,500
857,500.0,500
858,500.0,500
859,500.0,500
860,158.0,158
861,500.0,500
862,500.0,500
863,500.0,500
864,356.0,356
865,500.0,500
866,500.0,500
867,196.0,196
868,500.0,500
869,500.0,500
870,500.0,500
871,500.0,500
872,232.0,232
873,142.0,142
874,500.0,500
875,500.0,500
876,500.0,500
877,188.0,188
878,500.0,500
879,500.0,500
880,500.0,500
881,500.0,500
882,283.0,283
883,500.0,500
884,500.0,500
885,500.0,500
886,289.0,289
887,500.0,500
888,500.0,500
889,500.0,500
890,500.0,500
891,500.0,500
892,500.0,500
893,500.0,500
894,500.0,500
895,500.0,500
896,500.0,500
897,500.0,500
898,500.0,500
899,500.0,500
900,500.0,500
901,500.0,500
902,500.0,500
903,285.0,285
904,345.0,345
905,500.0,500
906,500.0,500
907,500.0,500
908,500.0,500
909,500.0,500
910,500.0,500
911,500.0,500
912,500.0,500
913,500.0,500
914,500.0,500
915,258.0,258
916,500.0,500
917,500.0,500
918,500.0,500
919,500.0,500
920,500.0,500
921,500.0,500
922,500.0,500
923,500.0,500
924,500.0,500
925,500.0,500
926,395.0,395
927,500.0,500
928,500.0,500
929,500.0,500
930,500.0,500
931,500.0,500
932,500.0,500
933,500.0,500
934,500.0,500
935,500.0,500
936,500.0,500
937,500.0,500
938,500.0,500
939,500.0,500
940,500.0,500
941,500.0,500
942,500.0,500
943,500.0,500
944,500.0,500
945,500.0,500
946,500.0,500
947,500.0,500
948,500.0,500
949,500.0,500
950,500.0,500
951,500.0,500
952,500.0,500
953,500.0,500
954,500.0,500
955,500.0,500
956,500.0,500
957,500.0,500
958,500.0,500
959,500.0,500
960,500.0,500
961,326.0,326
962,500.0,500
963,500.0,500
964,500.0,500
965,500.0,500
966,500.0,500
967,500.0,500
968,358.0,358
969,500.0,500
970,500.0,500
971,500.0,500
972,500.0,500
973,500.0,500
974,500.0,500
975,500.0,500
976,500.0,500
977,346.0,346
978,500.0,500
979,500.0,500
980,500.0,500
981,350.0,350
982,500.0,500
983,397.0,397
984,500.0,500
985,500.0,500
986,500.0,500
987,500.0,500
988,500.0,500
989,500.0,500
990,500.0,500
991,500.0,500
992,500.0,500
993,500.0,500
994,500.0,500
995,500.0,500
996,500.0,500
997,500.0,500
998,500.0,500
999,500.0,500
