episode,reward,episode_length
825,264.0,264
826,255.0,255
827,289.0,289
828,339.0,339
829,357.0,357
830,387.0,387
831,401.0,401
832,418.0,418
833,404.0,404
834,321.0,321
835,247.0,247
836,266.0,266
837,378.0,378
838,258.0,258
839,321.0,321
840,298.0,298
841,338.0,338
842,399.0,399
843,352.0,352
844,410.0,410
845,341.0,341
846,278.0,278
847,312.0,312
848,390.0,390
849,296.0,296
850,275.0,275
851,342.0,342
852,284.0,284
853,244.0,244
854,288.0,288
855,226.0,226
856,285.0,285
857,283.0,283
858,281.0,281
859,228.0,228
860,276.0,276
861,246.0,246
862,254.0,254
863,274.0,274
864,251.0,251
865,245.0,245
866,268.0,268
867,293.0,293
868,297.0,297
869,316.0,316
870,339.0,339
871,329.0,329
872,339.0,339
873,432.0,432
874,357.0,357
875,300.0,300
876,292.0,292
877,315.0,315
878,237.0,237
879,244.0,244
880,186.0,186
881,180.0,180
882,150.0,150
883,185.0,185
884,227.0,227
885,268.0,268
886,252.0,252
887,281.0,281
888,264.0,264
889,239.0,239
890,212.0,212
891,256.0,256
892,246.0,246
893,216.0,216
894,187.0,187
895,173.0,173
896,178.0,178
897,169.0,169
898,194.0,194
899,179.0,179
900,181.0,181
901,158.0,158
902,162.0,162
903,174.0,174
904,171.0,171
905,169.0,169
906,171.0,171
907,177.0,177
908,180.0,180
909,189.0,189
910,186.0,186
911,172.0,172
912,185.0,185
913,149.0,149
914,153.0,153
915,160.0,160
916,199.0,199
917,197.0,197
918,192.0,192
919,168.0,168
920,177.0,177
921,150.0,150
922,151.0,151
923,160.0,160
924,162.0,162
925,155.0,155
926,172.0,172
927,178.0,178
928,149.0,149
929,157.0,157
930,149.0,149
931,183.0,183
932,149.0,149
933,134.0,134
934,132.0,132
935,128.0,128
936,121.0,121
937,127.0,127
938,124.0,124
939,131.0,131
940,152.0,152
941,143.0,143
942,141.0,141
943,139.0,139
944,125.0,125
945,141.0,141
946,130.0,130
947,172.0,172
948,206.0,206
949,241.0,241
950,220.0,220
951,211.0,211
952,140.0,140
953,165.0,165
954,152.0,152
955,130.0,130
956,169.0,169
957,153.0,153
958,144.0,144
959,138.0,138
