episode,reward,episode_length
588,49.0,49
589,55.0,55
590,65.0,65
591,43.0,43
592,43.0,43
593,122.0,122
594,86.0,86
595,154.0,154
596,82.0,82
597,394.0,394
598,83.0,83
599,65.0,65
600,56.0,56
601,79.0,79
602,169.0,169
603,56.0,56
604,72.0,72
605,42.0,42
606,39.0,39
607,35.0,35
608,47.0,47
609,78.0,78
610,84.0,84
611,46.0,46
612,36.0,36
613,35.0,35
614,42.0,42
615,45.0,45
616,89.0,89
617,84.0,84
618,66.0,66
619,69.0,69
620,91.0,91
621,95.0,95
622,85.0,85
623,425.0,425
624,91.0,91
625,44.0,44
626,50.0,50
627,120.0,120
628,53.0,53
629,72.0,72
630,63.0,63
631,104.0,104
632,88.0,88
633,52.0,52
634,87.0,87
635,234.0,234
636,139.0,139
637,130.0,130
638,78.0,78
639,123.0,123
640,101.0,101
641,97.0,97
642,79.0,79
643,64.0,64
644,92.0,92
645,179.0,179
646,57.0,57
647,113.0,113
648,137.0,137
649,82.0,82
650,74.0,74
651,105.0,105
652,101.0,101
653,69.0,69
654,58.0,58
655,96.0,96
656,238.0,238
657,122.0,122
658,121.0,121
659,155.0,155
660,103.0,103
661,81.0,81
662,188.0,188
663,54.0,54
664,62.0,62
665,212.0,212
666,69.0,69
667,69.0,69
668,92.0,92
669,126.0,126
670,116.0,116
671,84.0,84
672,67.0,67
673,88.0,88
674,53.0,53
675,76.0,76
676,67.0,67
677,60.0,60
678,60.0,60
679,73.0,73
680,84.0,84
681,61.0,61
682,71.0,71
683,69.0,69
684,89.0,89
685,79.0,79
686,126.0,126
687,356.0,356
688,142.0,142
689,62.0,62
690,126.0,126
691,60.0,60
692,77.0,77
693,77.0,77
694,68.0,68
695,60.0,60
696,72.0,72
697,50.0,50
698,102.0,102
699,56.0,56
700,50.0,50
701,59.0,59
702,67.0,67
703,75.0,75
704,59.0,59
705,59.0,59
706,39.0,39
707,48.0,48
708,38.0,38
709,102.0,102
710,99.0,99
711,48.0,48
712,61.0,61
713,75.0,75
714,36.0,36
715,88.0,88
716,46.0,46
717,65.0,65
718,47.0,47
719,53.0,53
720,38.0,38
721,36.0,36
722,41.0,41
723,42.0,42
724,38.0,38
725,57.0,57
726,41.0,41
727,86.0,86
728,42.0,42
729,48.0,48
730,60.0,60
731,37.0,37
732,31.0,31
733,31.0,31
734,31.0,31
735,38.0,38
736,33.0,33
737,32.0,32
738,31.0,31
739,49.0,49
740,33.0,33
741,39.0,39
742,51.0,51
743,44.0,44
744,40.0,40
745,30.0,30
746,39.0,39
747,36.0,36
748,32.0,32
749,35.0,35
750,38.0,38
751,45.0,45
752,29.0,29
753,45.0,45
754,36.0,36
755,47.0,47
756,27.0,27
757,38.0,38
758,30.0,30
759,24.0,24
760,29.0,29
761,32.0,32
762,38.0,38
763,34.0,34
764,34.0,34
765,30.0,30
766,35.0,35
767,34.0,34
768,31.0,31
769,46.0,46
770,43.0,43
771,38.0,38
772,36.0,36
773,34.0,34
774,33.0,33
775,30.0,30
776,31.0,31
777,43.0,43
778,39.0,39
779,42.0,42
780,44.0,44
781,39.0,39
782,32.0,32
783,30.0,30
784,32.0,32
785,35.0,35
786,38.0,38
787,33.0,33
788,35.0,35
789,38.0,38
790,32.0,32
791,36.0,36
792,27.0,27
793,38.0,38
794,38.0,38
795,36.0,36
796,51.0,51
797,45.0,45
798,40.0,40
799,29.0,29
800,41.0,41
801,31.0,31
802,34.0,34
803,26.0,26
804,29.0,29
805,34.0,34
806,37.0,37
807,43.0,43
808,32.0,32
809,31.0,31
810,43.0,43
811,43.0,43
812,54.0,54
813,33.0,33
814,50.0,50
815,52.0,52
816,32.0,32
817,32.0,32
818,30.0,30
819,44.0,44
820,47.0,47
821,41.0,41
822,39.0,39
823,35.0,35
824,38.0,38
825,29.0,29
826,31.0,31
827,45.0,45
828,45.0,45
829,33.0,33
830,40.0,40
831,55.0,55
832,66.0,66
833,38.0,38
834,40.0,40
835,57.0,57
836,40.0,40
837,31.0,31
838,35.0,35
839,55.0,55
840,33.0,33
841,37.0,37
842,55.0,55
843,43.0,43
844,38.0,38
845,44.0,44
846,49.0,49
847,55.0,55
848,45.0,45
849,52.0,52
850,65.0,65
851,61.0,61
852,44.0,44
853,43.0,43
854,54.0,54
855,63.0,63
856,52.0,52
857,58.0,58
858,47.0,47
859,46.0,46
860,38.0,38
861,49.0,49
862,60.0,60
863,59.0,59
864,47.0,47
865,63.0,63
866,67.0,67
867,77.0,77
868,47.0,47
869,65.0,65
870,56.0,56
871,83.0,83
872,46.0,46
873,45.0,45
874,54.0,54
875,56.0,56
876,40.0,40
877,36.0,36
878,46.0,46
879,56.0,56
880,44.0,44
881,41.0,41
882,38.0,38
883,50.0,50
884,43.0,43
885,56.0,56
886,78.0,78
887,54.0,54
888,52.0,52
889,104.0,104
890,55.0,55
891,76.0,76
892,80.0,80
893,60.0,60
894,79.0,79
895,56.0,56
896,49.0,49
897,46.0,46
898,48.0,48
899,64.0,64
900,62.0,62
901,65.0,65
902,80.0,80
903,59.0,59
904,49.0,49
905,78.0,78
906,85.0,85
907,94.0,94
908,113.0,113
909,72.0,72
910,86.0,86
911,74.0,74
912,64.0,64
913,68.0,68
914,86.0,86
915,48.0,48
916,67.0,67
917,72.0,72
918,58.0,58
919,54.0,54
920,56.0,56
921,80.0,80
922,58.0,58
923,65.0,65
924,81.0,81
925,72.0,72
926,86.0,86
927,71.0,71
928,81.0,81
929,119.0,119
930,83.0,83
931,77.0,77
932,122.0,122
933,135.0,135
934,106.0,106
935,121.0,121
936,129.0,129
937,185.0,185
938,129.0,129
939,139.0,139
940,132.0,132
941,177.0,177
942,162.0,162
943,171.0,171
944,179.0,179
945,214.0,214
946,500.0,500
947,500.0,500
948,155.0,155
949,176.0,176
950,272.0,272
951,500.0,500
952,220.0,220
953,133.0,133
954,198.0,198
955,139.0,139
956,133.0,133
957,144.0,144
958,130.0,130
959,142.0,142
960,167.0,167
961,373.0,373
962,310.0,310
963,306.0,306
964,294.0,294
965,191.0,191
966,224.0,224
967,161.0,161
968,234.0,234
969,252.0,252
970,227.0,227
971,306.0,306
972,225.0,225
973,226.0,226
974,433.0,433
975,377.0,377
976,500.0,500
977,500.0,500
978,500.0,500
979,500.0,500
980,500.0,500
981,500.0,500
982,500.0,500
983,500.0,500
984,500.0,500
985,500.0,500
986,500.0,500
987,500.0,500
988,500.0,500
989,500.0,500
990,500.0,500
991,500.0,500
992,442.0,442
993,421.0,421
994,456.0,456
995,500.0,500
996,500.0,500
997,500.0,500
998,500.0,500
999,500.0,500
